case_id	acceptance_point_id	cast_offset_ms	source_sha256	screenshot	screenshot_sha256	layout_sensitive	screen	screen_sha256	screen_source
AUTH-ECS-WAIT-READY	waiting	1397	b8ac7ebcee459b4de968b287cc79540c9f03e742ddb48195b12b92125af8df5f	waiting-waiting.png	63e3bcfe8ff54bf6007cd253174f61bf833fd26826acdd6e05ecbdf3dbbf6c73	true	waiting-waiting.webm	522c0998fbe18355d958a01b718088795505c4f4dbe9c925bf465612a2a5f928	cast-replay
AUTH-ECS-WAIT-READY	saved	44228	b8ac7ebcee459b4de968b287cc79540c9f03e742ddb48195b12b92125af8df5f	waiting-saved.png	3cda2b52ad63d28bcd6c8a52ecd92c7813696a50776eed3ef22d9d6e50ed6951	true	waiting-saved.webm	32cb6fec7534d1d05344c5ab69dea7c76fa4657852a63f9313ba856e4cabc977	cast-replay
AUTH-ECS-WAIT-READY	config-verified	44271	b8ac7ebcee459b4de968b287cc79540c9f03e742ddb48195b12b92125af8df5f	waiting-config-verified.png	ea63d0976201504ae1b3e818cdff88ef719ce2f4b6c0ed5d66f21d5abc30ecff	false			
